especialidad,dorsalgia,n_registros
DOR NAS COSTAS - LOMBALGIA,0,13
PEDIATRIA ESPECIALIZANDO,0,1
CIRURGIA BUCO MAXILO FACIAL,0,9
INFECTOLOGIA PEDIATRICA,0,2
ODONTOLOGIA PREVENCAO,0,21
RADIOLOGIA ODONTOLOGICA,0,7
PEDIATRIA,1,24
ODONTOLOGIA PREVENCAO,1,3
ODONTOLOGIA CLINICA,1,7
ATENDIMENTO DO SERVICO,1,2
MÉDICO DA COLUNA QUALIVIDA,0,7
NEUROPEDIATRIA,1,2
PSICOLOGIA - AVALIAÇÃO,1,24
ACUPUNTURA,1,2
PSIQUIATRIA,1,8
FISIOTERAPIA,1,9
PNEUMOLOGIA PEDIATRICA,1,1
DOR DE CABECA CEFALEIA,0,9
CIRURGIA DA MAMA,0,24
OBSTETRICIA ALTO RISCO,0,27
ENDOCRINOLOGIA PEDIATRICA,0,5
CONSULTA EM GENÉTICA MÉDICA,0,20
GENERALISTA QUE ATENDE DOENÇA DA MULHER,0,1
NEUROPSICOLOGIA - AVALIAÇÃO,0,3
ALERGOLOGIA PEDIATRICA,0,4
ODONTOPEDIATRIA,0,1
COLOPROCTOLOGIA,0,12
PSICOPEDAGOGIA TEA,0,5
TRIAGEM DE FONOAUDIOLOGIA,0,1
TRIAGEM INFANTIL NEUROPSICOLOGIA,0,3
REUMATOLOGIA PEDIATRICA,0,1
GINECOLOGIA INFANTIL,0,4
MEDICO OBESIDADE QUALIVIDA,0,4
ANALISES CLINICAS DIVERSAS,0,182
TOMOGRAFIA COMPUTADORIZADA,0,7
PRONTO-SOCORRO ADULTO,0,168
INTERNAÇÃO CIRÚRGICA,0,3
ANATOMIA PATOLOGICA / CITOPATOLOGIA,0,34
RESSONANCIA MAGNETICA,0,7
CONSULTA EM CLÍNICA MÉDICA,0,1
PRONTO ATENDIMENTO OTORRINOLARINGOLÓGICO,0,2
MEDICINA FISICA E REABILITACAO,0,5
FORNECEDOR,0,2
TESTE DA ORELHINHA,0,1
MEDICO ANTROPOSOFICO,0,3
CIRURGIAO DENTISTA - DENTISTICA,0,6
AN. CLIN-MED. NUCLEAR-RADIOIMU,0,81
AN. CLIN-AN. PAT-LIQUOR,0,19
ALERGIA INFANTIL,0,3
MEDICINA DE FAMILIA E COMUNIDADE,0,112
CITOPATOLOGIA,0,3
RADIOIMUNOENSAIO,0,8
MEDICO CARDIOLOGISTA,1,3
CIRURGIAO DENTISTA - ODONTOPEDIATRA,0,6
TRAUMATO-ORTOPEDIA,0,31
GINECOLOGIA/OBSTETRICIA,0,71
CIRURGIA VASCULAR PERIFERICA,0,12
PSICOPEDAGOGIA CONVENCIONAL,0,7
GENERALISTA QUE ATENDE DOENÇA DA CRIANÇA,0,8
PSICOMOTRICIDADE TEA,0,2
OBSTETRICIA ALTO RISCO GESTAR BEM,0,33
NEUROPSICOLOGO,0,3
MEDICO NEUROCIRURGIAO,1,4
MEDICO,0,97
MEDICOS NAO COOPERADOS,0,129
UNIMEDS,0,123
MEDICINA FISICA E REABILITACAO-FISIATRIA,0,36
GERAIS,1,5
MEDICINA DO TRABALHO,0,1
RADIOLOGIA,1,2
CLINICA GERAL,1,7
NEUROLOGIA PEDIÁTRICA,0,3
GENERALISTA,1,3
DOR NAS COSTAS - LOMBALGIA,1,3
CIRURGIA ODONTOLOGICA,0,3
FONOAUDIOLOGIA - AVALIAÇÃO,0,37
CIRURGIA GINECOLOGICA,1,1
GINECOLOGIA CLINICA,1,7
ONCO HEMATOLOGIA,1,2
NEFROLOGIA PEDIATRICA,0,51
CIRURGIA BARIATRICA,0,3
MEDICINA LEGAL,0,3
MEDICO NEUROLOGISTA,1,1
FARMACEUTICO,0,1
MEDICO ENDOCRINOLOGISTA E METABOLOGISTA,1,1
NUTRIÇÃO,0,1
TELEGRAVE PEDIATRICO,0,1
TRIAGEM TERAPIA OCUPACIONAL,0,1
PSICOTERAPIA,1,3
GINECOLOGIA: PREVENÇÃO E CUIDADOS ENFERMEIRA,0,2
CIRURGIA CARDIACA/HEMODINAMICA,0,20
ESTIMULACAO PRECOCE - FONOAUDIOLOGIA,0,3
ACOLHIMENTO PRE NATAL,0,3
PROCEDIMENTOS CIRURGIA GERAL,0,5
CIRURGIA GERAL,1,2
ANATOMIA PATOLOGICA,1,1
CIRURGIAO DENTISTA - TRAUMATOLOGISTA BUCOMAXILOFAC,1,1
PERIODONTIA,0,2
TERAPIA OCUPACIONAL - AVALIAÇÃO,0,23
DOR NO ESTOMAGO - REFLUXO,0,1
ACOLHIMENTO NUTRIÇÃO GESTANTES DIABETICA,0,2
DERMATOLOGIA PEDIATRICA,0,8
GENERALISTA DOENCA PROCTOLOGICA,0,1
PSICOTERAPIA LINHAS DE CUIDADO,0,3
MÉDICO ACUPUNTURISTA,0,1
ANDROLOGIA,0,20
PSICOLOGIA ONCOLOGIA,0,1
MEDICO CIRURGIAO DO APARELHO DIGESTIVO,1,1
MEDICO UROLOGISTA,1,1
OBSTETRÍCIA - ESPECIALIZANDO,0,1
ANATOMIA PATOLOGICA E CITOPATOLOGIA,0,1
NAO INFORMADO,0,1
APLICADOR ABA,0,1
PSIQUIATRIA INFANTIL,0,2
HEMATOLOGIA PEDIATRICA,0,1
ENFERMAGEM,1,1
LABORATORIO,0,1
CIRURGIA CARDIO VASCULAR,0,1
ENDOSCOPIA DIGESTIVA,1,1
NUTRICAO CIRURG BARIATRICA,0,4
INATIVO ORTOPEDIA MEDICO DA FAMILIA,0,17
CIRURGIA ENDOCRINOLOGICA,0,1
FISIOT RESPIRATORIA,0,2
ENDOMETRIOSE,0,3
FISIOTERAPIA TEA,0,2
ENDOSCOPIA PERORAL,0,17
CARDIOLOGIA QUALIVIDA,0,2
ONCO HEMATOLOGIA,0,24
